Frame,Animal,Count
237,cow,5
238,cow,6
239,cow,7
240,cow,7
241,cow,9
242,cow,7
243,cow,6
244,cow,7
245,cow,4
245,horse,2
246,cow,4
246,horse,2
247,cow,7
248,cow,8
249,cow,8
250,cow,9
251,cow,10
252,cow,7
253,cow,8
254,cow,7
255,cow,7
256,cow,7
257,cow,7
258,cow,7
259,cow,7
260,cow,7
261,cow,7
262,cow,8
263,cow,6
264,cow,6
265,cow,6
266,cow,6
267,cow,6
268,cow,6
269,cow,7
269,horse,1
270,cow,7
271,cow,6
272,cow,6
273,cow,8
274,cow,7
275,cow,7
276,cow,9
277,cow,7
278,cow,8
278,horse,1
279,cow,8
280,cow,7
281,cow,8
282,cow,7
283,cow,8
284,cow,7
285,cow,7
285,horse,1
286,cow,6
286,horse,1
287,cow,7
288,cow,8
289,cow,8
290,cow,9
291,cow,5
291,horse,2
292,cow,6
292,horse,2
293,cow,7
294,cow,8
294,horse,2
295,cow,12
296,cow,12
297,cow,8
298,cow,9
299,cow,8
300,cow,10
301,cow,11
302,cow,12
303,cow,10
304,cow,9
305,cow,10
306,cow,9
307,cow,9
308,cow,9
309,cow,9
310,cow,8
311,cow,9
312,cow,9
313,cow,9
314,cow,11
315,cow,10
316,cow,8
317,cow,8
318,cow,9
319,cow,9
320,cow,9
321,cow,9
322,cow,9
323,cow,8
324,cow,7
325,cow,8
326,cow,9
327,cow,7
328,cow,9
329,cow,9
330,cow,10
331,cow,12
332,cow,14
333,cow,12
334,cow,10
335,cow,10
336,cow,7
337,cow,12
338,cow,10
339,cow,9
340,cow,8
341,cow,10
342,cow,11
343,cow,10
344,cow,10
345,cow,12
346,cow,9
347,cow,12
348,cow,12
349,cow,11
350,cow,10
351,cow,13
352,cow,11
353,cow,9
354,cow,10
355,cow,9
356,cow,10
357,cow,9
358,cow,10
359,cow,10
360,cow,11
361,cow,10
362,cow,10
363,cow,10
364,cow,9
365,cow,9
366,cow,11
367,cow,14
368,cow,14
369,cow,11
370,cow,11
371,cow,10
372,cow,11
373,cow,11
374,cow,10
375,cow,12
376,cow,10
377,cow,11
378,cow,11
379,cow,12
380,cow,10
381,cow,11
382,cow,11
383,cow,12
384,cow,12
385,cow,12
386,cow,14
387,cow,11
388,cow,12
389,cow,12
390,cow,12
391,cow,13
392,cow,12
393,cow,12
394,cow,12
395,cow,12
396,cow,11
397,cow,13
398,cow,12
399,cow,10
400,cow,9
401,cow,12
402,cow,11
403,cow,14
404,cow,14
405,cow,14
406,cow,15
407,cow,11
408,cow,14
409,cow,15
410,cow,12
411,cow,13
412,cow,11
413,cow,14
414,cow,13
415,cow,16
416,cow,14
417,cow,14
418,cow,12
419,cow,13
420,cow,18
421,cow,16
422,cow,15
423,cow,16
424,cow,14
425,cow,15
426,cow,15
427,cow,16
428,cow,18
429,cow,17
430,cow,17
431,cow,14
432,cow,13
433,cow,15
434,cow,16
435,cow,13
436,cow,17
437,cow,11
438,cow,12
439,cow,18
440,cow,14
441,cow,13
442,cow,14
443,cow,12
444,cow,11
445,cow,15
446,cow,16
447,cow,14
448,cow,17
449,cow,15
450,cow,13
451,cow,15
452,cow,16
453,cow,15
454,cow,14
455,cow,12
456,cow,14
457,cow,14
458,cow,12
459,cow,13
460,cow,13
461,cow,12
462,cow,14
463,cow,12
464,cow,15
465,cow,16
466,cow,16
467,cow,13
468,cow,13
469,cow,15
470,cow,14
471,cow,13
472,cow,14
473,cow,11
474,cow,13
475,cow,13
476,cow,14
477,cow,11
478,cow,13
479,cow,13
480,cow,13
481,cow,14
482,cow,13
483,cow,13
484,cow,15
485,cow,13
486,cow,14
487,cow,16
488,cow,10
489,cow,8
490,cow,11
490,horse,1
491,cow,13
492,cow,13
493,cow,12
494,cow,9
495,cow,9
496,cow,12
